
M4RK,right,0
1,4seam,135,2,継続,199,240

2,4seam,132,0,継続,232,183

3,slider,117,2,継続,71,186

4,4seam,130,0,継続,163,35

5,4seam,128,3,継続,63,134

6,4seam,128,2,アウト,169,229


M4RK,left,1
1,sinker,120,2,継続,172,230

2,slider,118,0,継続,242,82

3,4seam,136,3,継続,113,241

4,sinker,122,0,継続,153,270

5,4seam,136,4,単打,187,117


M4RK,1base,right,2
1,slider,123,0,継続,40,267

2,curve,100,0,継続,232,182

3,4seam,140,2,継続,195,180

4,4seam,143,1,継続,50,134

5,sinker,120,3,継続,190,244

6,sinker,120,4,二塁打,103,188


M4RK,1base,left,2
1,sinker,118,3,継続,154,253

2,4seam,137,4,アウト,202,149

M4RK,1base,2base,3base,left,0

1,4seam,138,1,継続,175,246

2,slider,119,0,継続,195,39

3,sinker,117,2,継続,103,218

4,4seam,140,1,アウト,223,95


M4RK,2base,3base,right,1
1,4seam,137,2,継続,110,238

2,4seam,134,1,継続,203,153

3,sinker,119,3,継続,167,238

4,slider,119,4,アウト,86,228


M4RK,1base,2base,left,2
1,4seam,132,0,継続,172,251

2,slider,121,3,継続,66,150

3,4seam,138,4,単打,144,72


M4RK,left,0
1,curve,107,0,継続,33,256

2,4seam,132,0,継続,196,52

3,sinker,114,0,継続,169,259

4,4seam,132,0,アウト,228,93


M4RK,right,0
1,4seam,138,2,継続,196,156

2,slider,122,1,継続,90,243

3,sinker,118,0,継続,117,267

4,4seam,134,1,アウト,79,47


M4RK,1base,2base,3base,left,0
1,4seam,137,2,継続,207,170

2,slider,122,0,継続,155,264

3,sinker,124,4,併殺打,166,247


M4RK,3base,left,2
1,sinker,123,0,継続,96,278

2,4seam,134,2,継続,191,100

3,4seam,137,1,継続,69,57

4,slider,123,4,単打,97,225


M4RK,left,0
1,slider,120,2,継続,74,219

2,sinker,118,0,継続,150,259

3,4seam,133,4,アウト,149,126

